TotalGrantOrContriPdDurYrAmt,/home/don/Documents/Temp/dev990/2023/expanded_zip_files/2023_TEOS_XML_09A/processed/97308/202302639349100510_public.xml
OnlyContriToPreselectedInd,/home/don/Documents/Temp/dev990/2023/expanded_zip_files/2023_TEOS_XML_09A/processed/97308/202302639349100510_public.xml
TotalGrantOrContriPdDurYrAmt,/home/don/Documents/Temp/dev990/2023/expanded_zip_files/2023_TEOS_XML_09A/processed/97308/202302639349100510_public.xml
OnlyContriToPreselectedInd,/home/don/Documents/Temp/dev990/2023/expanded_zip_files/2023_TEOS_XML_09A/processed/50441/202312549349100811_public.xml
TotalGrantOrContriPdDurYrAmt,/home/don/Documents/Temp/dev990/2023/expanded_zip_files/2023_TEOS_XML_09A/processed/77901/202312509349100106_public.xml
TotalGrantOrContriApprvFutAmt,/home/don/Documents/Temp/dev990/2023/expanded_zip_files/2023_TEOS_XML_09A/processed/77901/202312509349100106_public.xml
ContributingManagerNm,/home/don/Documents/Temp/dev990/2023/expanded_zip_files/2023_TEOS_XML_09A/processed/10020/202322449349100607_public.xml
ShareholderManagerNm,/home/don/Documents/Temp/dev990/2023/expanded_zip_files/2023_TEOS_XML_09A/processed/10020/202322449349100607_public.xml
ApplicationSubmissionInfoGrp,/home/don/Documents/Temp/dev990/2023/expanded_zip_files/2023_TEOS_XML_09A/processed/08701/202332519349100103_public.xml
GrantOrContriApprvForFutGrp,/home/don/Documents/Temp/dev990/2023/expanded_zip_files/2023_TEOS_XML_09A/processed/83403/202332419349100718_public.xml
Sect4942j3j5FndtnAndFrgnOrgInd,/home/don/Documents/Temp/dev990/2023/expanded_zip_files/2023_TEOS_XML_09A/processed/32750/202342379349100009_public.xml
